,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,1,PF,1571183880,85,-23.12,-134.97,296.95,3.699
1,havre-saint-pierre,40,CA,1571183880,100,50.23,-63.6,278.15,5.1
2,vila franca do campo,75,PT,1571183880,94,37.72,-25.43,293.71,8.2
3,mkushi,0,ZM,1571183880,61,-13.61,29.4,292.02,4.617
4,petropavlovsk-kamchatskiy,75,RU,1571183880,48,53.05,158.65,279.15,5.0
5,port alfred,28,ZA,1571183881,89,-33.59,26.89,287.59,2.488
6,punta arenas,0,CL,1571183881,65,-53.16,-70.91,281.15,5.7
7,inhambane,72,MZ,1571183881,72,-23.87,35.38,296.1,6.982
8,torbay,90,CA,1571183881,81,47.66,-52.73,281.48,4.6
9,mataura,100,NZ,1571183881,77,-46.19,168.86,285.93,0.89
10,vaini,100,IN,1571183881,91,15.34,74.49,294.55,3.174
11,nikolskoye,90,RU,1571183882,91,59.7,30.79,276.48,4.0
12,busselton,98,AU,1571183882,60,-33.64,115.35,287.59,3.309
13,tuktoyaktuk,90,CA,1571183882,92,69.44,-133.03,267.15,7.2
14,cape town,0,ZA,1571183882,82,-33.93,18.42,289.26,4.6
15,mathathane,100,BW,1571183882,66,-22.27,28.75,294.82,7.02
16,hermanus,0,ZA,1571183882,93,-34.42,19.24,286.48,1.34
17,brae,34,GB,1571183883,87,60.4,-1.35,284.15,6.7
18,biltine,84,TD,1571183883,46,14.53,20.93,302.82,2.911
19,oum hadjer,100,TD,1571183883,63,13.3,19.7,301.38,3.165
20,maputo,75,MZ,1571183883,83,-25.97,32.57,294.15,3.1
21,bilma,0,NE,1571183883,19,18.69,12.92,303.87,3.5
22,jamestown,93,AU,1571183883,76,-33.21,138.6,285.35,5.695
23,cherskiy,100,RU,1571183884,92,68.75,161.3,271.4,7.773
24,lebu,75,ET,1571183884,62,8.96,38.73,287.15,5.1
25,aklavik,90,CA,1571183884,85,68.22,-135.01,266.15,4.1
26,port elizabeth,1,US,1571183884,81,39.31,-74.98,290.15,2.517
27,los llanos de aridane,75,ES,1571183884,73,28.66,-17.92,294.15,3.1
28,china,0,MX,1571183884,52,25.71,-99.24,303.99,6.098
29,luba,25,PH,1571183884,76,17.32,120.7,298.86,2.402
30,ushuaia,7,AR,1571183885,98,-54.81,-68.31,274.2,0.401
31,abu samrah,19,SY,1571183885,32,35.3,37.18,294.86,1.661
32,george,1,MW,1571183885,72,-15.35,34.83,292.69,2.162
33,kumluca,49,TR,1571183885,63,36.37,30.29,293.23,2.862
34,praia da vitoria,75,PT,1571183885,83,38.73,-27.07,295.15,9.786
35,karema,7,TZ,1571183886,70,-6.82,30.44,298.49,4.575
36,namibe,45,AO,1571183886,85,-15.19,12.15,294.5,1.017
37,victoria,75,BN,1571183886,88,5.28,115.24,300.15,0.5
38,yulara,0,AU,1571183886,40,-25.24,130.99,295.15,7.7
39,arlit,0,NE,1571183886,14,18.74,7.39,305.99,3.688
40,bambous virieux,75,MU,1571183886,83,-20.34,57.76,295.15,6.814
41,grand gaube,75,MU,1571183886,83,-20.01,57.66,295.15,5.626
42,bluff,8,AU,1571183887,47,-23.58,149.07,301.65,3.483
43,hashtrud,0,IR,1571183887,47,37.48,47.05,281.61,0.277
44,praya,20,ID,1571183887,74,-8.71,116.27,299.15,2.024
45,bredasdorp,0,ZA,1571183887,93,-34.53,20.04,284.82,2.1
46,junin,41,PE,1571183887,25,-16.45,-71.58,289.15,4.6
47,bulnes,20,CL,1571183887,63,-36.74,-72.3,289.15,3.1
48,thompson,75,CA,1571183888,80,55.74,-97.86,274.15,2.6
49,nehe,16,CN,1571183888,54,48.48,124.88,277.16,1.964
50,csanytelek,0,HU,1571183888,100,46.61,20.1,284.26,2.608
51,nisia floresta,40,BR,1571183888,74,-6.09,-35.21,300.15,5.7
52,sitka,0,US,1571183888,33,37.17,-99.65,290.37,4.92
53,albany,1,US,1571183888,75,42.65,-73.75,283.15,1.697
54,cidreira,100,BR,1571183889,84,-30.17,-50.22,291.35,13.755
55,saint-philippe,1,CA,1571183889,87,45.36,-73.48,284.15,2.175
56,kiunga,100,PG,1571183889,64,-6.12,141.3,302.77,0.305
57,waingapu,67,ID,1571183889,69,-9.65,120.26,299.49,3.219
58,hithadhoo,100,MV,1571183889,77,-0.6,73.08,299.63,1.472
59,saskylakh,99,RU,1571183889,97,71.97,114.09,260.23,1.643
60,puerto ayora,20,EC,1571183890,57,-0.74,-90.35,297.15,7.2
61,chokurdakh,94,RU,1571183890,95,70.62,147.9,262.31,3.26
62,upernavik,100,GL,1571183890,95,72.79,-56.15,270.17,5.096
63,codajas,89,BR,1571183890,97,-3.84,-62.06,294.84,1.399
64,kapaa,20,US,1571183890,70,22.08,-159.32,302.15,7.2
65,mar del plata,98,AR,1571183890,72,-46.43,-67.52,282.52,7.892
66,kuruman,6,ZA,1571183891,43,-27.46,23.43,290.93,2.478
67,saint george,0,GR,1571183891,87,39.45,22.34,287.15,0.626
68,wasilla,75,US,1571183891,37,61.58,-149.44,277.15,5.1
69,castro,90,CL,1571183891,93,-42.48,-73.76,283.15,1.5
70,klaksvik,99,FO,1571183891,81,62.23,-6.59,283.15,11.8
71,deputatskiy,79,RU,1571183891,91,69.3,139.9,257.7,2.088
72,semey,88,KZ,1571183891,56,50.41,80.25,281.92,7.121
73,zambezi,62,ZM,1571183892,27,-13.55,23.12,293.23,1.426
74,mahibadhoo,95,MV,1571183892,69,3.78,72.97,302.09,3.525
75,coquimbo,46,CL,1571183892,82,-29.95,-71.34,287.15,4.6
76,mahebourg,75,MU,1571183892,83,-20.41,57.7,295.15,4.41
77,hasaki,75,JP,1571183892,72,35.73,140.83,289.26,4.1
78,taoudenni,37,ML,1571183892,20,22.68,-3.98,305.06,3.854
79,cedar city,1,US,1571183893,7,37.68,-113.06,295.15,2.128
80,mastung,0,PK,1571183893,30,29.8,66.85,285.39,1.016
81,ajdabiya,44,LY,1571183893,42,30.75,20.22,297.44,3.826
82,vao,100,EE,1571183893,84,59.1,26.19,278.86,5.093
83,the valley,20,AI,1571183893,74,18.22,-63.06,301.15,3.6
84,taonan,36,CN,1571183893,41,45.34,122.78,280.68,2.669
85,barrow,98,AR,1571183893,75,-38.31,-60.23,281.16,5.051
86,zhuhai,40,CN,1571183894,52,40.71,112.04,280.15,2.0
